mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,advice_exists,advice_subtype
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,0,therapist,0:00:00,"Hi, Sal. Thanks for coming in today.",7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,1,client,0:00:07,No problem.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,2,therapist,0:00:08,"I saw that your doctor made the referral and, um, and I really appreciate you taking the time to come and make that appointment.",7,TRUE,information,FALSE,,FALSE,,therapist_input,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,3,client,0:00:17,"Yeah, it's-it's a bit of an inconvenience I'd say, but I'm here though.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,4,therapist,0:00:21,So you made it in here-,7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,5,client,0:00:22,Mm-hmm.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,6,therapist,0:00:23,- and do you have a sense of-of what some of the doctor's concerns were that led her to refer you?,7,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,7,client,0:00:29,"I don't know, something about changing my life even more. You know, the smoking's been changed, and now it's, you know, cut down the drinking, get rid of those extra smokes, get rid of my dog. I don't know what else have to do.",7,,,,,,,,sustain,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,8,therapist,0:00:44,"So your asthma has been acting up and there's a lot of stuff, not just the asthma going on?",7,FALSE,,TRUE,complex,TRUE,closed,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,9,client,0:00:50,"Yeah, there's a lot of stress too. My wife's still on maternity leave, she's not getting paid, she's with the baby right now. And I'm the only person that's working right now, and plus I got to change all these things that are going on in my life.",7,,,,,,,,sustain,,
