csv_file,system_prompt,user_prompt,true_label,predicted_label,success,done
data/added_labels/advice_test_examples/none/12_b928cbdc-c115-4ca6-8b20-a0524b833cdd.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Therapist: Sarah, I'm so glad you came in for your well-woman exam today. I think we addressed a lot of your concerns. However, I would like to ask you more about your smoking. Would that be okay?
",none,none,True,True
data/added_labels/advice_test_examples/none/26_7e057b05-c668-48a6-bede-be446c62ea9e.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: I don't know. Some of-- One of the officers, it's like he has it out for me or something. I don't- I don't know what it is. Something about me not making my bed, something about my attitude. I don't know, I just want my call, man.
Therapist: Okay. yeah, it was weird when I, uh, got that report because for the most part since you've been here, uh, you'd been like, uh, model-model resident, uh, always making their bed, uh, been pretty, uh, respectful of the staff, of all the other residents. So, uh, is it something to do with you getting out in three weeks? It must be pretty hard.
Client: I just wanna contact my mom, that's it.
Therapist: Mm-hmm. Yeah, you used to have contact with your mom, you know, almost every other night and now for just about a week, you haven't even gotten to talk to her. I can imagine that being pretty difficult. I remember you saying something about like your dad's birthday coming up?
",none,none,True,True
data/added_labels/advice_test_examples/ADW/121_c10ffd97-75ae-408c-8abc-365a51fd0a15.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: And so maybe that would, uh—
Therapist: Yeah, sounds like a good idea.
Client: Maybe it's an idea. I mean—
Therapist: I think anything you do, it has to be something you've decided. You know, just start where you want to start. You've mentioned some really good ideas about possibly getting a little bit more exercise into your life, doing something like squash or something of that nature. You've mentioned some really good ideas about reducing the amount of sugar you-you-you're-you're intaking during the day, and coffee is a good place to start. Having an apple for breakfast, I think you mentioned that, a bit of fruit.",ADW,none,False,True
data/added_labels/advice_test_examples/ADW/49_18fd2edc-8c99-4642-842c-5dde66c1180d.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: Um, I haven't managed it to-to this point, so [chuckles] I don't know.
Therapist: Mm.
Client: Um, I suppose I've just got to get tougher with myself.
Therapist: Yeah. I think somewhat being tough with yourself, what-- yeah, people often say that, but, you know, it's not-- I think there are some things that you can do, and you've already-already identified a really good strategy.
",ADW,none,False,True
data/added_labels/advice_test_examples/none/91_b8e0527b-3fdb-400c-8943-ea0614d8ca9e.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: Well, I'm- I guess I'm still a fighter, and I-I-I- it's starting to- I'm starting to realize it and I do feel pretty good that I came to see you. I-I- it was a step and a couple of people who care about me actually, uh, gave me a pat on the back that I came to see you. So-
Therapist: Mm-hmm.
Client: -this was a big step. So I guess, yes. Um, it wouldn't have been as high maybe last week.
Therapist: Okay. So you said 30 to 40%. What would it take to build that confidence to about 45%?
",none,none,True,True
data/added_labels/advice_test_examples/ADP/113_86e4b39b-6a9e-40b2-80ad-ecb0bf8b8e9f.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: I don't have any plans to quit. It's just something I'm thinking about.
Therapist: So, it's-it's not so much that you don't wanna quit in a way, it's almost, ""How could I do it that would work for me?""
Client: Exactly.
Therapist: Okay. I appreciate. We've- we've probably used up the time that we have. I would love to see you next week if you'd be willing to schedule another appointment and talk with you more about this. Is that something that would be helpful?
",ADP,none,False,True
data/added_labels/advice_test_examples/ADW/60_2b0f5ccb-5934-4efd-ba8c-e24869c58b91.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: Right, right. Just like [inaudible 00:04:06] Or your chocolate and all that.
Therapist: Yeah.
Client: So just switching my addiction. [laughs]
Therapist: If you will. And that's if you decide you want to try a replacement therapy and that's what we call it and it-it kind of sounds from what you've described with your fear about you know, what it would be like of the withdrawal and everything like that. W-why you don't have to do it that way, you don't have to go cold-cold turkey.
",ADW,ADW,True,True
data/added_labels/advice_test_examples/ADW/91_82793c41-f0a5-457a-9a0b-f94b79a3af0b.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: Yeah, yeah. I think so because, um, when I get the urge, I could maybe fight it and, um, maybe wait till the next urge-
Therapist: Mm-hmm.
Client: -and maybe mark that down that, uh, I didn't go right away when something went wrong. Um, yes, I-I can try that.
Therapist: Okay. And I can give you a little card that can help you keep track of it. And if you can bring that back to the next appointment, it could be something we could discuss. Okay. Anything else?
",ADW,ADW,True,True
data/added_labels/advice_test_examples/ADW/33_b533c9ed-ec1a-4660-afe5-9ba5bdf60b65.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: -all of the above.
Therapist: Any thoughts on considering quitting smoking at this time?
Client: Yeah, I've thought about it. I'm just-- It's not my cup-- I-I-I hear it from everybody, and, uh, I've tried- I've tried before, didn't work. I get it all the time.
Therapist: Okay. And it's like here I am one more person, the next- the next doctor who's saying, ""You need to quit smoking, David.""
",ADW,none,False,True
data/added_labels/advice_test_examples/none/48_94474b78-648c-4ecc-93b1-3879644abfa8.csv,"The following is a snippet from an MI conversation. Show your thinking process step by step and then return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Example:
Client: I've heard about those benefits. I guess I'm just worried about finding the time and staying motivated.""
Therapist: ""Those are valid concerns. Would you like some suggestions on how you might overcome these challenges?""
Client: ""Sure, I'd appreciate that.""
Therapist: ""One approach could be starting with small, manageable goals, like a short walk each day or a few minutes of stretching. It's also helpful to find activities you enjoy. And remember, it's okay to start slow and build up gradually. What do you think about trying something like this?""
Answer: the therapist uses ADP by first asking permission before giving advice, discussing the benefits of the suggested change, and then seeking the client's thoughts on the advice given. ADP","Client: Which was the reason why I didn't want quite to address 'cause I know better. I-
Therapist: You probably think that I'm going to get on your case about that or something.
Client: Yes, I know, I know, I know.
Therapist: Yeah.
",none,none,True,True
