csv_file,system_prompt,user_prompt,true_label,predicted_label,success,done
data/added_labels/advice_test_examples/none/91_b8e0527b-3fdb-400c-8943-ea0614d8ca9e.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: -this was a big step. So I guess, yes. Um, it wouldn't have been as high maybe last week.
Therapist: Okay. So you said 30 to 40%. What would it take to build that confidence to about 45%?",none,none,True,True
data/added_labels/advice_test_examples/ADP/97_cf40c535-07eb-4291-88f4-f22360203dd0.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: No.
Therapist: Okay. Can I suggest that you come back and see me in a couple of weeks time just to chat about this?",ADP,ADP,True,True
data/added_labels/advice_test_examples/ADW/16_0e3e09e2-36d5-4c04-a535-4b7c9cf9caa6.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: Oh, it's a nice place. It's close to work. It's good living with a mate.
Therapist: Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes.",ADW,none,False,True
data/added_labels/advice_test_examples/ADP/11_0ade393a-9b0c-45b9-87e0-b52574638fc4.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: Yeah
Therapist: .Okay, mm-hmm. Well, I'm wondering then if it's okay with you and-and I have a form that we can use if you'd like, um, just to put out some different ideas on an agenda that we could share as we're working together so that I-I can support you to be successful in getting this behind you. Would-would this feel like a natural time to-to move towards figuring out where we might go together?",ADP,ADP,True,True
data/added_labels/advice_test_examples/ADP/121_b607e221-1920-48d4-9426-f6f3dffa202f.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: So, I mean, what-what-what-what suggestions would you have? I mean, what-what sort of-
Therapist: I don't know. I think it's up to you where we start, and that's the question I've got in my mind. You've mentioned a couple of things that you've already made some effort, or been conscious of. You've mentioned the diet, you've mentioned your smoking, those are two quite important aspects that we often talk about here in how people work.",ADP,ADP,True,True
data/added_labels/advice_test_examples/ADP/20_3d74913e-86a5-4a2d-bc2b-d1ecb69a4b5c.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: I don't know. I-I'd like some help. I just don't know what kind of help I need.
Therapist: Sure. Well, if you'd be interested, that's something I can definitely talk to you about. There are a lot of new options that can actually help people be way more successful in their attempt at quitting. There's different medications you can try.",ADP,ADP,True,True
data/added_labels/advice_test_examples/ADW/121_c10ffd97-75ae-408c-8abc-365a51fd0a15.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: Maybe it's an idea. I mean—
Therapist: I think anything you do, it has to be something you've decided. You know, just start where you want to start. You've mentioned some really good ideas about possibly getting a little bit more exercise into your life, doing something like squash or something of that nature. You've mentioned some really good ideas about reducing the amount of sugar you-you-you're-you're intaking during the day, and coffee is a good place to start. Having an apple for breakfast, I think you mentioned that, a bit of fruit.",ADW,ADW,True,True
data/added_labels/advice_test_examples/ADP/91_8d3893a8-87bd-4011-b364-a2933f657c4e.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: Discussing things helps me. I always feel better when I get things out.
Therapist: Okay. So Jean, I really want to congratulate you on taking this very important first step towards addressing this problem that you've had for such a long time, but as the first small step, I wonder whether you'd be open to actually just monitoring your smoking for the next week. And the reason why I say that- because as you were mentioning to me, smoking is so automatic for you that sometimes writing it down helps make every cigarette a conscious act. And I noticed that you were saying to me, you feel a loss of control over these cigarettes. And sometimes just being mindful and writing something down will help you get some control over what you're doing. And that's often the first small step. What are your thoughts about that?",ADP,ADP,True,True
data/added_labels/advice_test_examples/none/84_2e5ad609-df4b-4c42-be2b-dd873004a95f.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","Client: Yeah. I can hang out with her and stuff and she gets all my mates and stuff. So it's all good.
Therapist: Hmm, yeah. It's really special when you find someone who can be both a friend and girlfriend, eh.",none,none,True,True
data/added_labels/advice_test_examples/none/12_b928cbdc-c115-4ca6-8b20-a0524b833cdd.csv,"The following is a snippet from an MI conversation.  Return ""ADP"", ""ADW"" or ""none"" based on whether the therapist's utterance  has advice WITH permission, advice WITHOUT permission, or no advice.

Context: utterances with advice will usually contain language that indicates that advice is being given: should, why don't you, consider, try, suggest, advise, you could. Advice WITH permission can be in the form of a request from the client, or in the therapist asking the client's permission to offer it. Watch for Indirect forms of permission asking such as giving the client the option to disregard the advice.

Examples:

Example #1
Therapist: Steve, before we're done with our visit today, I was wondering if you'd be willing to take a few minutes to talk about your drinking.
Answer: ADP

Example #2
Therapist: Well, I mean, I think you just need to maybe sit down and write down a list of reasons why you need to get back to the gym, and then on the other side of the list, put down, you know, um, ideas about what's going to help you get there.
Answer: ADW

Now, look at this utterance and output one word which is the correct answer.","
Therapist: Sarah, I'm so glad you came in for your well-woman exam today. I think we addressed a lot of your concerns. However, I would like to ask you more about your smoking. Would that be okay?",none,ADP,False,True
