csv_file,system_prompt,user_prompt,true_label,predicted_label,success,done
data/split/reflection_test_examples/none/78_351976c5-465c-4613-9f33-add88a84c41d.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Yeah.
Therapist: Okay. When-when somebody has asthma, their lungs are like hypersensitive. If I could use an analogy, again, if-if you had the skin burnt off your arm, if somebody brushed up against you before he had the skin burned off your arm, it wouldn't bother you at all. But when the skin's burned off your arm, you literally react to it. Her lungs are exquisitely sensitive. Uh, and like the skin on your arm would be if the skin got burned off. And what this drug can do? This chronic inhaler is reduce the inflammation in her lungs so that her lungs don't remain exquisitely sensitive. Because otherwise, everything in the air like dust, pollen, uh, reacts with her, uh, in ways that it would not normally affect us.",none,none,True,True
data/split/reflection_test_examples/complex/91_21a9c32d-3a5a-48d1-a297-d970513fa6d8.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: I mean, I feel like it is. I know when I've got that package in my pocket, or I know if there- if I'm going through some stress, I say, ""Oh, well, I'll have a cigarette and think this out.""
Therapist: Sure. So, Jean, I want to make sure that I've understood what you've told me of what you find good about smoking. So it helps you calm down. It gives you something to do. It's been part of your image. You know, you feel sophisticated. You feel like a movie style. In fact, the way you talk about it, it seems like that's what it makes you feel like. Is that right?",complex,complex,True,True
data/split/reflection_test_examples/complex/13_0be4d4f4-5599-429d-bfe9-98cd0de20339.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Uh, yeah, well, I was just- I was reading that it's better to let them build up their immunity, like, naturally and stuff in their immune systems.
Therapist: Okay, so you were thinking that maybe exposing Lily naturally to these diseases would be a better choice than using vaccines to help her get stronger?",complex,complex,True,True
data/split/reflection_test_examples/none/121_9f2539f1-5be7-4ac5-8254-acaa02eddd6e.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Yeah, that's cool.
Therapist: Maybe this is the-",none,none,True,True
data/split/reflection_test_examples/none/33_beb315ef-2379-4581-804d-956495f5f5c0.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: I don't know. I really don't know. I just don't really want it.
Therapist: Mm-hmm.",none,none,True,True
data/split/reflection_test_examples/complex/133_f777cc05-2368-4483-8322-e7662ba5f853.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: You know what? She hasn't even talked about the dealing, like, she won't even broach that subject. That's how black and white she is. She's- she'll be- she offers suggestions, you know? What I could do, and- or I kind of go with that, but none of them are-- You know, it's lovely that she's really finding things, but they're not the things. I mean, it-- I started kind of placating her and making it okay to keep giving me suggestions, but like, I need to come up with something because it's like awesome love, but you know, not in love, and she's getting sick of it already.
Therapist: Okay. All right. So-so back together, things are starting to get tense at home, and your relationship a little bit?",complex,complex,True,True
data/split/reflection_test_examples/complex/34_5e16f3ef-6109-4ac6-afc0-5449b5e79608.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Yeah.
Therapist: It's just the scene that they're-they're still in because their life maybe hasn't taken that change that your life has made. And so now, you're here and you're not sure. You want the baby, but you're not sure about the suburbs and the picket fence thing. You're not sure—",complex,complex,True,True
data/split/reflection_test_examples/none/85_dbb87417-6af9-44b6-9c2f-bd9faaa17e3b.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Yeah, I-I-I got to be careful with it. If I take more than a hit or two of it, it-it-it can be a bit of a problem.
Therapist: Yeah. Why, what happens if you take a little too much of it?",none,none,True,True
data/split/reflection_test_examples/complex/52_165dc6aa-efcf-45e4-a3f2-7e225307947e.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: I really didn't think about how this would affect me playing sports.
Therapist: Based on your reason for your visit today, I feel like you really wanted to play soccer, and you have great goals about that.",complex,complex,True,True
data/split/reflection_test_examples/complex/120_2c416abd-6e08-492e-86ed-286d2d174995.csv,"Requirement: Analyze 2 conversation utterances and categorize the presence of a ""reflection"" statement in the ""Therapist"" utterance. Output ""simple"" if a simple reflection is detected, ""complex"" for a complex reflection, or ""none"" if no reflection is found. 
Context: Input is 2 utterances from a therapist-client conversation. A ""reflection"" involves repeating or rephrasing client statements, with sub-classification into Simple (RES) or Complex (REC). Simple reflections convey understanding without adding substantial meaning, while complex reflections deepen or expand on the client's statement.","Client: Yeah, I suppose. I know my weight is a problem, but every time I try to take it off, I end up gaining it back. I don't know what to do.
Therapist: I know how you feel. Managing weight can be frustrating. Maybe we can just start trying to figure it out together and I'll be here to help you through the challenges.",complex,complex,True,True
